aX,aY,aZ,gX,gY,gZ
0.438,0.136,0.526,0.559,0.532,0.428
0.52,0.254,0.56,0.495,0.535,0.444
0.522,0.381,0.611,0.471,0.52,0.464

0.609,0.799,0.316,0.693,0.451,0.53
0.637,0.863,0.271,0.737,0.439,0.535
0.651,0.88,0.196,0.789,0.425,0.535
0.632,0.845,0.118,0.843,0.409,0.531
0.593,0.791,0.061,0.884,0.397,0.526
0.545,0.725,0.041,0.907,0.392,0.519
0.506,0.634,0.066,0.91,0.397,0.508
0.459,0.531,0.132,0.884,0.408,0.487
0.408,0.395,0.213,0.835,0.421,0.459
0.348,0.232,0.318,0.771,0.441,0.439
0.392,0.088,0.416,0.692,0.468,0.433
0.466,0.077,0.49,0.601,0.485,0.44
0.483,0.209,0.562,0.522,0.49,0.456
0.471,0.379,0.634,0.48,0.489,0.472
0.468,0.488,0.686,0.476,0.489,0.482

0.591,0.754,0.381,0.627,0.471,0.521
0.598,0.783,0.361,0.661,0.463,0.524
0.602,0.796,0.333,0.697,0.453,0.526
0.6,0.798,0.306,0.734,0.443,0.529
0.597,0.788,0.283,0.768,0.434,0.528
0.583,0.768,0.262,0.796,0.429,0.523
0.556,0.751,0.247,0.817,0.426,0.514
0.529,0.724,0.236,0.829,0.427,0.502
0.498,0.672,0.239,0.829,0.43,0.488
0.463,0.583,0.253,0.818,0.436,0.471
0.444,0.473,0.288,0.795,0.445,0.455
0.431,0.36,0.341,0.759,0.454,0.445
0.423,0.261,0.404,0.71,0.464,0.442
0.44,0.19,0.468,0.651,0.476,0.441
0.469,0.176,0.525,0.589,0.486,0.444

0.585,0.783,0.409,0.614,0.48,0.518
0.615,0.827,0.383,0.658,0.47,0.528
0.636,0.884,0.333,0.707,0.458,0.534
0.633,0.92,0.253,0.763,0.443,0.539
0.625,0.91,0.174,0.822,0.428,0.542
0.615,0.874,0.103,0.874,0.417,0.541
0.572,0.827,0.053,0.908,0.41,0.532
0.499,0.743,0.067,0.92,0.412,0.514
0.428,0.601,0.135,0.909,0.426,0.489
0.368,0.416,0.225,0.87,0.448,0.463
0.327,0.199,0.303,0.802,0.474,0.444
0.379,0.033,0.384,0.709,0.503,0.438
0.498,0.019,0.451,0.604,0.523,0.442
0.554,0.158,0.509,0.517,0.523,0.455
0.522,0.321,0.579,0.473,0.509,0.475

0.603,0.833,0.375,0.625,0.468,0.519
0.623,0.883,0.332,0.674,0.456,0.524
0.634,0.913,0.259,0.73,0.44,0.528
0.641,0.919,0.177,0.79,0.423,0.532
0.638,0.897,0.085,0.847,0.406,0.532
0.608,0.834,0.003,0.897,0.39,0.524
0.537,0.746,0,0.929,0.382,0.509
0.447,0.657,0.004,0.934,0.388,0.489
0.383,0.502,0.093,0.909,0.408,0.464
0.326,0.274,0.225,0.857,0.435,0.437
0.287,0.041,0.355,0.771,0.466,0.419
0.36,0,0.45,0.654,0.498,0.416
0.476,0.032,0.509,0.537,0.519,0.43
0.516,0.246,0.567,0.46,0.52,0.454
0.505,0.449,0.645,0.44,0.51,0.481

0.596,0.765,0.38,0.629,0.465,0.525
0.604,0.793,0.348,0.667,0.454,0.53
0.606,0.801,0.314,0.707,0.443,0.531
0.602,0.794,0.279,0.745,0.433,0.53
0.595,0.778,0.252,0.778,0.424,0.526
0.579,0.759,0.228,0.805,0.417,0.518
0.553,0.731,0.204,0.825,0.414,0.507
0.525,0.705,0.198,0.835,0.414,0.495
0.482,0.667,0.211,0.834,0.417,0.479
0.441,0.593,0.242,0.823,0.425,0.46
0.415,0.481,0.285,0.802,0.437,0.442
0.388,0.342,0.342,0.767,0.449,0.431
0.381,0.189,0.41,0.715,0.464,0.426
0.41,0.086,0.484,0.646,0.481,0.425
0.452,0.114,0.543,0.57,0.493,0.432

0.585,0.831,0.287,0.737,0.459,0.528
0.589,0.819,0.248,0.777,0.451,0.528
0.583,0.786,0.216,0.812,0.445,0.524
0.562,0.75,0.196,0.837,0.44,0.516
0.535,0.715,0.194,0.849,0.439,0.507
0.502,0.683,0.211,0.85,0.442,0.495
0.469,0.641,0.243,0.838,0.448,0.481
0.443,0.563,0.278,0.815,0.456,0.463
0.426,0.443,0.321,0.783,0.465,0.445
0.417,0.306,0.37,0.74,0.473,0.436
0.422,0.185,0.428,0.683,0.482,0.436
0.448,0.133,0.491,0.616,0.491,0.443
0.472,0.197,0.549,0.55,0.498,0.454
0.472,0.321,0.594,0.504,0.502,0.468
0.476,0.418,0.633,0.487,0.504,0.481

0.58,0.816,0.37,0.668,0.46,0.515
0.58,0.837,0.331,0.71,0.451,0.516
0.579,0.861,0.28,0.753,0.443,0.516
0.569,0.861,0.217,0.798,0.434,0.515
