aX,aY,aZ,gX,gY,gZ
0.548,0.534,0.658,0.465,0.51,0.455
0.486,0.536,0.678,0.499,0.492,0.468
0.42,0.456,0.669,0.534,0.484,0.483

0.573,0.877,0.427,0.705,0.478,0.524
0.558,0.866,0.368,0.754,0.47,0.528
0.55,0.844,0.314,0.795,0.465,0.53
0.547,0.81,0.269,0.825,0.464,0.529
0.525,0.758,0.242,0.841,0.463,0.523
0.479,0.661,0.24,0.84,0.466,0.51
0.43,0.518,0.269,0.819,0.479,0.49
0.401,0.367,0.316,0.776,0.497,0.467
0.407,0.238,0.352,0.715,0.514,0.449
0.472,0.151,0.385,0.645,0.527,0.441
0.558,0.142,0.442,0.578,0.53,0.44
0.59,0.239,0.506,0.52,0.519,0.444
0.556,0.374,0.56,0.485,0.502,0.452
0.498,0.459,0.613,0.48,0.488,0.458
0.448,0.484,0.656,0.493,0.482,0.464

0.585,0.915,0.42,0.682,0.481,0.517
0.589,0.931,0.356,0.738,0.47,0.522
0.594,0.924,0.274,0.795,0.458,0.527
0.601,0.901,0.184,0.846,0.449,0.53
0.588,0.855,0.108,0.886,0.443,0.53
0.542,0.785,0.07,0.908,0.44,0.524
0.466,0.641,0.08,0.904,0.445,0.509
0.384,0.411,0.14,0.868,0.465,0.487
0.328,0.153,0.221,0.801,0.495,0.46
0.426,0,0.306,0.703,0.527,0.436
0.569,0,0.375,0.584,0.543,0.42
0.603,0.138,0.44,0.48,0.531,0.427
0.612,0.368,0.527,0.422,0.51,0.446
0.543,0.529,0.617,0.42,0.491,0.458
0.464,0.599,0.683,0.448,0.475,0.468

0.558,0.888,0.307,0.789,0.466,0.527
0.553,0.844,0.255,0.828,0.463,0.53
0.548,0.802,0.218,0.852,0.463,0.529
0.53,0.747,0.202,0.859,0.465,0.521
0.483,0.639,0.21,0.851,0.47,0.504
0.433,0.49,0.257,0.823,0.483,0.482
0.407,0.331,0.31,0.774,0.5,0.458
0.446,0.183,0.351,0.709,0.515,0.441
0.518,0.117,0.396,0.634,0.523,0.432
0.546,0.15,0.449,0.563,0.519,0.432
0.566,0.249,0.515,0.507,0.507,0.442
0.537,0.371,0.577,0.478,0.495,0.453
0.472,0.452,0.634,0.474,0.484,0.461
0.428,0.482,0.666,0.485,0.483,0.469
0.413,0.457,0.667,0.501,0.49,0.476

0.561,0.794,0.408,0.725,0.485,0.519
0.555,0.774,0.378,0.754,0.481,0.517
0.534,0.752,0.347,0.776,0.479,0.513
0.509,0.721,0.319,0.79,0.478,0.507
0.491,0.67,0.303,0.794,0.48,0.5
0.482,0.591,0.3,0.787,0.483,0.492
0.471,0.484,0.318,0.766,0.488,0.479
0.451,0.35,0.363,0.732,0.494,0.465
0.45,0.234,0.421,0.68,0.502,0.451
0.484,0.192,0.468,0.615,0.51,0.44
0.535,0.229,0.506,0.552,0.515,0.432
0.563,0.317,0.553,0.507,0.51,0.429
0.549,0.395,0.591,0.486,0.495,0.432
0.5,0.437,0.626,0.487,0.48,0.439
0.434,0.427,0.654,0.5,0.471,0.45

0.57,0.869,0.43,0.684,0.48,0.511
0.574,0.861,0.387,0.733,0.471,0.518
0.572,0.845,0.34,0.777,0.463,0.524
0.57,0.819,0.294,0.812,0.456,0.53
0.557,0.789,0.262,0.837,0.452,0.532
0.521,0.736,0.248,0.85,0.452,0.53
0.477,0.66,0.247,0.846,0.46,0.521
0.439,0.543,0.256,0.825,0.473,0.506
0.41,0.393,0.29,0.787,0.49,0.486
0.397,0.224,0.338,0.731,0.508,0.467
0.458,0.104,0.386,0.655,0.526,0.454
0.555,0.124,0.441,0.571,0.537,0.446
0.583,0.267,0.517,0.501,0.53,0.447
0.585,0.415,0.589,0.466,0.512,0.456
0.53,0.498,0.644,0.47,0.496,0.457

0.581,0.932,0.393,0.674,0.47,0.503
