aX,aY,aZ,gX,gY,gZ
0.503,0.631,0.594,0.508,0.477,0.513
0.505,0.621,0.593,0.506,0.482,0.506
0.495,0.604,0.595,0.504,0.488,0.499

0.645,0.677,0.361,0.497,0.45,0.468
0.643,0.676,0.343,0.496,0.435,0.462
0.645,0.668,0.314,0.496,0.416,0.457
0.672,0.641,0.273,0.493,0.391,0.452
0.644,0.61,0.216,0.484,0.357,0.443
0.489,0.625,0.17,0.471,0.313,0.433
0.306,0.69,0.188,0.454,0.28,0.427
0.244,0.758,0.277,0.444,0.272,0.427
0.27,0.779,0.402,0.45,0.286,0.429
0.317,0.73,0.546,0.47,0.31,0.434
0.349,0.628,0.661,0.493,0.337,0.446
0.351,0.527,0.702,0.509,0.368,0.466
0.374,0.498,0.686,0.513,0.406,0.492
0.453,0.537,0.655,0.508,0.443,0.507
0.506,0.609,0.617,0.502,0.467,0.509

0.818,0.728,0.272,0.483,0.464,0.446
0.783,0.761,0.202,0.485,0.424,0.427
0.669,0.755,0.164,0.495,0.379,0.414
0.545,0.721,0.155,0.503,0.341,0.408
0.427,0.68,0.158,0.504,0.31,0.404
0.3,0.655,0.189,0.499,0.285,0.401
0.241,0.652,0.28,0.491,0.277,0.402
0.227,0.619,0.39,0.484,0.282,0.411
0.262,0.596,0.48,0.479,0.295,0.424
0.307,0.588,0.558,0.474,0.315,0.438
0.326,0.577,0.643,0.476,0.339,0.452
0.332,0.55,0.719,0.483,0.365,0.465
0.322,0.532,0.745,0.491,0.394,0.482
0.334,0.542,0.731,0.496,0.427,0.498
0.384,0.57,0.704,0.497,0.458,0.508

0.752,0.723,0.015,0.52,0.338,0.461
0.506,0.632,0,0.541,0.272,0.449
0.245,0.655,0.004,0.539,0.225,0.429
0.025,0.657,0.116,0.528,0.21,0.41
0.058,0.665,0.369,0.518,0.234,0.401
0.193,0.571,0.619,0.517,0.268,0.4
0.25,0.513,0.711,0.511,0.298,0.412
0.231,0.515,0.74,0.5,0.337,0.437
0.245,0.539,0.747,0.496,0.381,0.458
0.299,0.608,0.717,0.494,0.423,0.476
0.36,0.638,0.678,0.496,0.452,0.485
0.399,0.615,0.654,0.5,0.47,0.484
0.409,0.59,0.65,0.499,0.482,0.481
0.423,0.58,0.654,0.493,0.495,0.481
0.447,0.582,0.652,0.491,0.508,0.483

0.641,0.706,0.245,0.51,0.378,0.46
0.599,0.669,0.21,0.517,0.35,0.458
0.5,0.624,0.18,0.521,0.316,0.454
0.361,0.608,0.18,0.518,0.286,0.445
0.26,0.628,0.227,0.507,0.275,0.436
0.244,0.665,0.33,0.496,0.285,0.433
0.279,0.687,0.446,0.492,0.307,0.437
0.347,0.667,0.546,0.497,0.331,0.446
0.384,0.63,0.595,0.507,0.349,0.458
0.367,0.589,0.612,0.517,0.363,0.471
0.349,0.542,0.632,0.521,0.381,0.483
0.363,0.522,0.664,0.517,0.406,0.493
0.38,0.547,0.688,0.507,0.43,0.497
0.396,0.594,0.696,0.499,0.452,0.496
0.412,0.623,0.69,0.497,0.472,0.494

0.602,0.63,0.21,0.506,0.36,0.437
0.54,0.621,0.175,0.496,0.329,0.436
0.423,0.636,0.166,0.487,0.296,0.434
0.269,0.67,0.197,0.479,0.272,0.429
0.186,0.709,0.293,0.473,0.27,0.425
0.194,0.729,0.425,0.474,0.291,0.424
0.243,0.693,0.544,0.481,0.319,0.43
0.306,0.643,0.631,0.491,0.348,0.442
0.347,0.608,0.682,0.501,0.374,0.457
0.35,0.571,0.688,0.51,0.398,0.476
0.366,0.543,0.673,0.516,0.424,0.493
0.411,0.544,0.662,0.513,0.45,0.503
0.45,0.566,0.65,0.507,0.468,0.505
0.466,0.582,0.636,0.501,0.48,0.502
0.472,0.587,0.626,0.497,0.489,0.498

0.734,0.681,0.322,0.477,0.446,0.468
0.719,0.692,0.279,0.48,0.412,0.465
0.664,0.689,0.232,0.491,0.371,0.464
0.551,0.66,0.195,0.501,0.33,0.463
0.406,0.635,0.204,0.507,0.298,0.459
0.306,0.635,0.264,0.509,0.284,0.453
0.261,0.629,0.361,0.514,0.282,0.451
0.267,0.582,0.461,0.521,0.291,0.453
0.303,0.527,0.576,0.523,0.31,0.458
0.334,0.506,0.663,0.514,0.336,0.47
0.349,0.526,0.697,0.505,0.368,0.487
0.368,0.557,0.705,0.503,0.402,0.501
0.397,0.597,0.685,0.507,0.433,0.511
0.43,0.623,0.649,0.512,0.456,0.516
0.454,0.625,0.621,0.515,0.47,0.516

0.693,0.714,0.328,0.512,0.434,0.474
0.637,0.705,0.288,0.524,0.401,0.469
0.569,0.665,0.263,0.537,0.369,0.469
0.498,0.618,0.259,0.545,0.339,0.467
0.401,0.575,0.285,0.546,0.318,0.458
0.336,0.578,0.359,0.539,0.312,0.444
0.328,0.591,0.45,0.527,0.319,0.432
0.319,0.583,0.52,0.517,0.331,0.425
0.298,0.587,0.577,0.508,0.348,0.428
0.283,0.604,0.63,0.503,0.372,0.442
0.311,0.615,0.665,0.504,0.401,0.464
0.365,0.594,0.666,0.513,0.429,0.485
0.414,0.569,0.647,0.521,0.451,0.499
0.45,0.567,0.622,0.521,0.466,0.508
0.468,0.577,0.598,0.517,0.475,0.51

0.713,0.74,0.275,0.495,0.416,0.454
0.711,0.722,0.219,0.508,0.382,0.453
0.661,0.681,0.152,0.521,0.337,0.456
0.501,0.613,0.094,0.533,0.285,0.456
0.268,0.577,0.092,0.534,0.242,0.445
0.109,0.6,0.199,0.523,0.229,0.432
0.105,0.622,0.366,0.511,0.249,0.422
0.159,0.589,0.535,0.504,0.282,0.417
0.214,0.543,0.691,0.499,0.317,0.42
0.243,0.552,0.784,0.491,0.358,0.441
0.274,0.58,0.774,0.493,0.404,0.473
0.358,0.591,0.705,0.506,0.445,0.502
